Year,YouTube Monthly Active Users (in billions),Annotations
2024,2.5,
2023,2.7,
2022,2.68,
2021,2.5,
2020,2.3,User engagement surges during the COVID-19 pandemic  
2019,2,T-Series becomes the first YouTube channel to hit 100M subscribers
2018,1.8,Logan Paul controversy sparks new content policies
2017,1.6,YouTube TV launched, expanding into live TV streaming
2016,1.5,
2015,1.3,
2014,1.1,
2013,1,YouTube reaches 1 billion monthly active users
2012,0.7,
2011,0.5,
2010,0.2,YouTube Growth Begins   
